               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034767,            0.033581,           0.0032409,             0.83423,             0.72423,             0.80315,             0.32918,            0.043564,            0.043289,            0.011442,            0.008812,            0.008812,            0.008812
                  38,             0.03526,             0.03231,           0.0029986,             0.78446,             0.79439,             0.80474,              0.3338,            0.044445,            0.044397,           0.0098745,            0.008779,            0.008779,            0.008779
                  39,            0.034413,            0.032798,           0.0028976,             0.81467,              0.7562,             0.75996,             0.31112,             0.04575,            0.045542,            0.011087,            0.008746,            0.008746,            0.008746
                  40,            0.034964,            0.034937,           0.0028589,             0.80725,             0.73964,             0.76457,             0.30071,            0.046396,            0.046375,            0.011997,            0.008713,            0.008713,            0.008713
                  41,            0.034434,            0.033857,           0.0027197,              0.8233,             0.76943,             0.79462,             0.32531,            0.044346,            0.045638,            0.011191,             0.00868,             0.00868,             0.00868
                  42,            0.034585,             0.03462,             0.00258,             0.84213,             0.75523,             0.79865,             0.33211,            0.044016,            0.046303,            0.013311,            0.008647,            0.008647,            0.008647
                  43,            0.033916,            0.033947,           0.0025811,             0.81135,             0.69994,             0.74226,             0.29915,            0.048177,            0.046375,            0.012104,            0.008614,            0.008614,            0.008614
                  44,            0.034574,            0.033999,           0.0023371,             0.82209,             0.76802,             0.80313,             0.34177,            0.043574,            0.046431,            0.011565,            0.008581,            0.008581,            0.008581
                  45,            0.033076,            0.032183,           0.0029077,             0.82907,             0.74304,             0.78055,             0.32159,            0.046023,            0.044895,            0.010576,            0.008548,            0.008548,            0.008548
                  46,            0.033056,            0.031986,           0.0035876,             0.87437,             0.76648,             0.82161,             0.32951,            0.044942,            0.045516,            0.010204,            0.008515,            0.008515,            0.008515
                  47,            0.032775,             0.03533,           0.0029221,             0.77464,              0.7829,             0.79488,             0.31599,            0.046867,            0.045715,            0.011685,            0.008482,            0.008482,            0.008482
                  48,            0.033645,            0.032919,           0.0027799,             0.81073,             0.74829,             0.77574,             0.31542,            0.048438,            0.045846,             0.01062,            0.008449,            0.008449,            0.008449
                  49,            0.032848,            0.032643,           0.0024752,             0.81902,              0.7686,             0.78746,              0.3238,            0.046243,            0.046104,            0.010929,            0.008416,            0.008416,            0.008416
                  50,            0.033176,            0.031414,           0.0026766,             0.80622,             0.75003,             0.76683,             0.30159,            0.049891,            0.047387,           0.0092514,            0.008383,            0.008383,            0.008383
                  51,            0.032607,            0.031939,           0.0027209,             0.81661,              0.7313,             0.76846,             0.31196,            0.046163,            0.046151,            0.011905,             0.00835,             0.00835,             0.00835
                  52,            0.032585,            0.031078,           0.0024377,             0.80857,             0.77043,              0.7983,             0.32139,            0.044329,             0.04723,            0.012617,            0.008317,            0.008317,            0.008317
                  53,            0.032527,            0.032097,           0.0022673,             0.82405,             0.76791,             0.77188,             0.31119,            0.046297,            0.047739,           0.0082347,            0.008284,            0.008284,            0.008284
                  54,             0.03312,             0.03133,           0.0026415,             0.82599,              0.7628,             0.79701,              0.3315,            0.044477,             0.04686,           0.0088402,            0.008251,            0.008251,            0.008251
                  55,            0.031831,            0.030642,           0.0022578,             0.79764,             0.74793,             0.76416,             0.29996,            0.048779,            0.047446,           0.0086736,            0.008218,            0.008218,            0.008218
                  56,            0.032066,            0.030409,           0.0025885,             0.78532,             0.78904,             0.80869,             0.32696,            0.044799,            0.045158,           0.0099663,            0.008185,            0.008185,            0.008185
                  57,            0.031368,             0.03008,           0.0027395,             0.86887,             0.72962,               0.805,             0.32521,            0.044792,            0.046977,            0.011448,            0.008152,            0.008152,            0.008152
                  58,            0.030471,            0.031981,           0.0025081,             0.85065,             0.70843,             0.79132,             0.31468,            0.046133,            0.047796,           0.0097646,            0.008119,            0.008119,            0.008119
                  59,             0.03004,              0.0319,           0.0026925,             0.76797,             0.76401,             0.78327,             0.31348,            0.044916,            0.047442,             0.01094,            0.008086,            0.008086,            0.008086
                  60,            0.030435,            0.031116,           0.0022142,             0.75584,             0.74592,             0.74703,             0.29081,             0.04748,            0.048592,            0.011392,            0.008053,            0.008053,            0.008053
                  61,            0.031548,            0.030203,           0.0022584,             0.84711,             0.77203,             0.80977,               0.323,            0.044931,             0.04719,           0.0099375,             0.00802,             0.00802,             0.00802
                  62,            0.032011,             0.03201,           0.0020396,             0.82263,             0.73049,             0.75855,             0.29618,            0.049293,            0.047501,           0.0089935,            0.007987,            0.007987,            0.007987
                  63,            0.030951,             0.03192,           0.0022733,             0.86277,             0.77451,             0.80558,             0.33124,            0.045888,            0.047367,           0.0095189,            0.007954,            0.007954,            0.007954
                  64,            0.030886,            0.031511,           0.0021093,             0.81433,             0.78982,             0.80685,             0.32506,            0.045752,            0.047759,            0.010349,            0.007921,            0.007921,            0.007921
                  65,            0.030509,            0.031606,           0.0023147,              0.8584,             0.73666,             0.78852,             0.32713,            0.045303,            0.047226,            0.012303,            0.007888,            0.007888,            0.007888
                  66,            0.029975,            0.032039,           0.0018237,             0.84917,              0.7579,             0.80552,             0.30852,            0.046204,            0.046801,            0.010628,            0.007855,            0.007855,            0.007855
                  67,             0.03039,            0.029115,           0.0021173,             0.83566,             0.72258,             0.75667,             0.28924,            0.047636,            0.048999,            0.011511,            0.007822,            0.007822,            0.007822
                  68,            0.030208,            0.028023,            0.002534,              0.8263,             0.78797,              0.7962,             0.32629,            0.044918,            0.048506,            0.010199,            0.007789,            0.007789,            0.007789
                  69,            0.030076,             0.02815,           0.0023871,             0.81918,             0.75933,             0.78094,             0.31425,            0.045914,            0.048992,            0.011008,            0.007756,            0.007756,            0.007756
                  70,            0.029156,            0.029053,           0.0020299,             0.81505,             0.77335,             0.80717,             0.32922,             0.04543,            0.048683,            0.011822,            0.007723,            0.007723,            0.007723
                  71,            0.029847,            0.029606,            0.001934,             0.78682,             0.79376,             0.78727,              0.3039,            0.045713,            0.049627,            0.011188,             0.00769,             0.00769,             0.00769
                  72,            0.029176,            0.030304,           0.0022821,             0.83257,             0.77793,             0.80545,             0.31037,             0.04504,              0.0479,            0.010278,            0.007657,            0.007657,            0.007657
                  73,            0.028681,            0.029305,           0.0019843,             0.84151,             0.76224,             0.80809,             0.32388,            0.045437,            0.047582,           0.0098679,            0.007624,            0.007624,            0.007624
                  74,            0.029283,            0.029731,           0.0019676,             0.83713,             0.77239,             0.79144,             0.31568,            0.046997,            0.047602,           0.0091698,            0.007591,            0.007591,            0.007591
                  75,            0.028498,            0.029781,           0.0022901,             0.84847,             0.75032,             0.79442,             0.31918,            0.044813,            0.048639,            0.010245,            0.007558,            0.007558,            0.007558
                  76,            0.028683,            0.028638,           0.0019731,             0.86403,             0.74245,             0.79858,             0.31886,            0.045731,            0.048753,            0.010941,            0.007525,            0.007525,            0.007525
                  77,            0.029163,             0.03008,           0.0023074,             0.81617,             0.78799,             0.80815,             0.32027,            0.044477,            0.047207,           0.0099447,            0.007492,            0.007492,            0.007492
                  78,            0.029101,             0.02847,           0.0020858,              0.8092,             0.77595,             0.79353,             0.32187,            0.045434,            0.047164,            0.012338,            0.007459,            0.007459,            0.007459
                  79,            0.028815,            0.028495,           0.0018868,             0.85114,             0.79463,             0.81072,             0.33192,            0.044248,            0.048172,            0.012038,            0.007426,            0.007426,            0.007426
                  80,             0.02805,            0.029643,           0.0020318,             0.86141,             0.77207,             0.80093,             0.31667,            0.046055,             0.04969,            0.010802,            0.007393,            0.007393,            0.007393
                  81,            0.028706,            0.028339,           0.0020615,             0.87388,             0.73529,             0.79454,             0.30763,            0.045908,            0.050044,            0.010821,             0.00736,             0.00736,             0.00736
                  82,            0.028667,            0.029783,           0.0018514,             0.83436,             0.76053,             0.79971,             0.32511,            0.045641,            0.050204,            0.011427,            0.007327,            0.007327,            0.007327
                  83,            0.029049,            0.031003,           0.0021681,             0.82658,                0.77,             0.78744,             0.31698,            0.046643,            0.050142,            0.010212,            0.007294,            0.007294,            0.007294
                  84,            0.028044,            0.027711,           0.0018091,             0.85187,             0.77445,             0.81554,             0.32843,            0.045224,            0.048834,            0.011351,            0.007261,            0.007261,            0.007261
                  85,            0.028209,            0.028619,           0.0018323,             0.81009,             0.75871,             0.77198,             0.30505,            0.047175,            0.049515,           0.0098078,            0.007228,            0.007228,            0.007228
                  86,            0.028053,            0.027943,           0.0023117,             0.87785,             0.74722,             0.81562,             0.31789,             0.04578,            0.049369,            0.011385,            0.007195,            0.007195,            0.007195
                  87,            0.027151,            0.028369,           0.0020042,             0.79667,             0.79777,             0.80914,             0.32812,            0.045267,            0.049253,            0.011486,            0.007162,            0.007162,            0.007162
                  88,            0.027481,            0.027976,           0.0020609,             0.80437,             0.76943,             0.80033,             0.32588,            0.044848,            0.049391,            0.011908,            0.007129,            0.007129,            0.007129
                  89,            0.027289,            0.028362,           0.0017893,             0.83646,             0.74062,             0.80873,             0.31996,            0.044974,            0.050374,            0.012002,            0.007096,            0.007096,            0.007096
                  90,            0.027712,             0.03012,           0.0017952,             0.84756,              0.7641,             0.81512,             0.32027,            0.045329,            0.050059,            0.010979,            0.007063,            0.007063,            0.007063
                  91,            0.027255,            0.028716,           0.0017952,             0.81489,             0.75344,             0.77429,             0.30962,            0.047203,            0.050981,            0.010959,             0.00703,             0.00703,             0.00703
                  92,            0.026461,            0.029229,           0.0019988,             0.84051,             0.77478,             0.79249,             0.31372,            0.046322,            0.050897,            0.011867,            0.006997,            0.006997,            0.006997
                  93,             0.02655,            0.027096,           0.0019347,             0.82252,             0.79579,             0.80147,              0.3057,             0.04661,            0.051138,            0.012039,            0.006964,            0.006964,            0.006964
                  94,            0.025484,            0.025414,           0.0017204,             0.82935,             0.78219,             0.79957,             0.31683,            0.046865,            0.051207,            0.013093,            0.006931,            0.006931,            0.006931
                  95,            0.026998,            0.027172,           0.0020456,             0.85794,             0.72912,             0.79522,              0.3161,            0.046003,            0.051687,            0.011202,            0.006898,            0.006898,            0.006898
                  96,            0.027346,            0.028807,           0.0017204,             0.80169,             0.78595,             0.78926,             0.31072,            0.045821,            0.051163,            0.012599,            0.006865,            0.006865,            0.006865
                  97,             0.02661,            0.028105,           0.0016662,             0.82702,             0.78894,             0.80027,             0.33467,            0.044796,            0.049446,            0.010603,            0.006832,            0.006832,            0.006832
                  98,            0.026962,            0.029151,            0.001857,             0.82257,             0.74525,              0.7838,             0.31895,            0.047542,             0.05068,            0.010808,            0.006799,            0.006799,            0.006799
                  99,            0.027096,            0.027339,           0.0017715,             0.88021,             0.77511,             0.83698,             0.34888,            0.044727,            0.048731,             0.01145,            0.006766,            0.006766,            0.006766
                 100,            0.026258,             0.02814,           0.0016577,             0.84119,             0.76021,              0.8014,              0.3292,             0.04552,            0.050279,             0.01137,            0.006733,            0.006733,            0.006733
                 101,            0.026144,            0.027082,           0.0015421,             0.83246,             0.74998,             0.79551,             0.32518,             0.04625,            0.051362,            0.012196,              0.0067,              0.0067,              0.0067
                 102,             0.02704,            0.028855,           0.0015578,             0.87181,             0.72251,             0.79647,             0.33005,            0.045595,            0.052349,            0.012083,            0.006667,            0.006667,            0.006667
                 103,            0.025931,            0.026677,           0.0014685,             0.87472,             0.72334,             0.80067,             0.32674,            0.046715,            0.052442,            0.012452,            0.006634,            0.006634,            0.006634
